GLOBE PINNER DROP-THROUGH,179EUR,",t q:longboard",https://cdn.skatedeluxe.com/images/product_images/thumbnail_images/78209_0_Globe_PinnerDropThrough41104cm.jpg
GLOBE THE CUTLER 36.5,200EUR,",longboard",https://cdn.skatedeluxe.com/images/product_images/thumbnail_images/101783_0_Globe_TheCutler365927cm.jpg
GLOBE BYRON BAY 43,140EUR,",longboard",https://cdn.skatedeluxe.com/images/product_images/thumbnail_images/91962_0_Globe_ByronBay431092cm.jpg
SKATEDELUXE X SURFBLEND WOOD CRUISER,100EUR,",cruiser",https://cdn.skatedeluxe.com/images/product_images/thumbnail_images/94655_0_skatedeluxe_SurfblendWood.jpg
SK8DLX ALMOST NAKED 27 CRUISER,70EUR,",cruiser",https://cdn.skatedeluxe.com/images/product_images/thumbnail_images/94868_0_SK8DLX_AlmostNaked27.jpg
LANDYACHTZ DINGHY 28.5,170EUR,",cruiser",https://cdn.skatedeluxe.com/images/product_images/thumbnail_images/95548_0_Landyachtz_Dinghy285724cm.jpg
ELEMENT PHASE III LAND LINES,29EUR,",visserie,cruiser",https://cdn.skatedeluxe.com/images/product_images/thumbnail_images/102092_0_Element_PhaseIIILandLines50.jpg
THUNDER 149 HIGH LIGHTS ACADEMY TRUCK,49EUR,",visserie,cruiser",https://cdn.skatedeluxe.com/images/product_images/thumbnail_images/102091_0_Thunder_149HighLightsAcademy.jpg
ELEMENT FULL,34EUR,"visserie,cruiser",https://cdn.skatedeluxe.com/images/product_images/thumbnail_images/102093_0_Element_FullTree550.jpg
BEAR GRIZZLY 845 181MM 45° TRUCK,32EUR,",visserie,cruiser",https://cdn.skatedeluxe.com/images/product_images/thumbnail_images/95688_0_Bear_Grizzly845181mm45.jpg
CALIBER II 50° 184MM TRUCK ,33EUR,",visserie,cruiser",https://cdn.skatedeluxe.com/images/product_images/thumbnail_images/78990_0_Caliber_II50184mm.jpg
PARIS V2 180MM 50° TRUCK ,33EUR,",visserie,cruiser",https://cdn.skatedeluxe.com/images/product_images/thumbnail_images/98492_0_Paris_V2180mm50.jpg
